No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
1860,896986,ji-hotel-shanghai-people-s-square-fujian-middle-road,www.gother.com/th-th/hotels/china/shanghai/people-square-and-south-bund-huangpu/ji-hotel-shanghai-people-s-square-fujian-middle-road,china/shanghai/people-square-and-south-bund-huangpu/ji-hotel-shanghai-people-s-square-fujian-middle-road,Supplier,china,37
264,763027,Mai-Hotel,www.gother.com/th-th/hotels/thailand/chiang-mai/muang-chiang-mai/mai-hotel,thailand/chiang-mai/muang-chiang-mai/mai-hotel,DIRECT,thailand,36
416,843233,touch-sea-boutique-hotel-bistro,www.gother.com/th-th/hotels/thailand/phuket/muang-phuket/touch-sea-boutique-hotel-bistro,thailand/phuket/muang-phuket/touch-sea-boutique-hotel-bistro,DIRECT,thailand,36
1472,100192,hotel-livemax-esaka,www.gother.com/th-th/hotels/japan/osaka/suita/hotel-livemax-esaka,japan/osaka/suita/hotel-livemax-esaka,Supplier,japan,36
1473,792786,ikebukuro,www.gother.com/th-th/hotels/japan/tokyo/toshima/ikebukuro,japan/tokyo/toshima/ikebukuro,Supplier,japan,36
1475,850264,wyndham-garden-sapporo-odori,www.gother.com/th-th/hotels/japan/hokkaido/sapporo/wyndham-garden-sapporo-odori,japan/hokkaido/sapporo/wyndham-garden-sapporo-odori,Supplier,japan,36
1484,781914,henn-na-hotel-tokyo-ginza,www.gother.com/th-th/hotels/japan/tokyo/chuo/henn-na-hotel-tokyo-ginza,japan/tokyo/chuo/henn-na-hotel-tokyo-ginza,Supplier,japan,36
1485,501643,hotel-kaga,www.gother.com/th-th/hotels/japan/osaka/osaka/hotel-kaga,japan/osaka/osaka/hotel-kaga,Supplier,japan,36
1486,133164,hotel-ginza-daiei,www.gother.com/th-th/hotels/japan/tokyo/ginza/hotel-ginza-daiei,japan/tokyo/ginza/hotel-ginza-daiei,Supplier,japan,36
1487,783573,apa-hotel-tkp-tokyo-nishikasai,www.gother.com/th-th/hotels/japan/tokyo/taito/apa-hotel-tkp-tokyo-nishikasai,japan/tokyo/taito/apa-hotel-tkp-tokyo-nishikasai,Supplier,japan,36
1489,7387,shibuya-excel-hotel-tokyu,www.gother.com/th-th/hotels/japan/tokyo/shibuya/shibuya-excel-hotel-tokyu,japan/tokyo/shibuya/shibuya-excel-hotel-tokyu,Supplier,japan,36
1490,851239,smile-hotel-premium-kanazawa-higashiguchi-ekimae,www.gother.com/th-th/hotels/japan/ishikawa/kanazawa/smile-hotel-premium-kanazawa-higashiguchi-ekimae,japan/ishikawa/kanazawa/smile-hotel-premium-kanazawa-higashiguchi-ekimae,Supplier,japan,36
1492,781874,hotel-wing-international-select-osaka-umeda,www.gother.com/th-th/hotels/japan/osaka/osaka/hotel-wing-international-select-osaka-umeda,japan/osaka/osaka/hotel-wing-international-select-osaka-umeda,Supplier,japan,36
1570,834414,page148-page-hotel,www.gother.com/th-th/hotels/hong-kong/kowloon/tsim-sha-tsui/page148-page-hotel,hong-kong/kowloon/tsim-sha-tsui/page148-page-hotel,Supplier,hong-kong,36
